DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IT,2021,1551.944,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,IT,2022,1572.968,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LT,2021,126.900,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LT,2022,119.600,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LU,2021,136.480,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LU,2022,127.698,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LV,2021,45.760,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,LV,2022,15.754,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MD,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MD,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,ME,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,ME,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MK,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MK,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MT,2021,10.570,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,MT,2022,12.607,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,NL,2021,634.823,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,NL,2022,613.870,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,NO,2021,366.793,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,NO,2022,348.132,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,PL,2021,1119.687,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,PL,2022,1203.421,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,PT,2021,340.216,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,PT,2022,341.109,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,RO,2021,495.760,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,RO,2022,558.680,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,RS,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,RS,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,SE,2021,1451.780,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,SE,2022,1675.864,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,SI,2021,102.501,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,SI,2022,78.562,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5250S,KTOE,SK,2021,160.520,
